fen,phase,eco,material,mobility,white_king_safety,black_king_safety,white_center_control,black_center_control,evaluation_cp,best_move
rnbqk2r/ppp1bpp1/4pn1p/3p2B1/2PP4/P1N5/1P2PPPP/R2QKBNR w KQkq - 0 6,opening,D53,78,39,0,0,4,2,-2,g5f6
8/5pkp/5bp1/3r4/p4R2/8/5PK1/1B6 w - - 0 41,middlegame,,21,24,0,0,2,2,-229,f4a4
N5nr/R6p/bp2kPp1/8/8/P1B5/1P4PP/4K2R b K - 0 24,middlegame,,35,17,0,0,2,2,701,a6c4
6k1/pq3ppp/1p2p3/8/2Pr1Q2/1P4PK/r6P/5R2 w - - 0 30,middlegame,,43,32,0,0,4,2,-597,f4d4
6k1/pp1b4/8/3p4/3PqB2/5N1P/PP4K1/R4R2 b - - 0 31,middlegame,,35,34,0,0,2,4,49,e4f4
8/p3k1p1/5b1p/1p6/2p2B1P/1qP2KP1/8/8 w - - 2 45,middlegame,,23,17,0,0,3,2,-642,f4h6
4b3/4rk2/5q2/Q4p1p/2PR1P2/4P3/P5PP/K7 b - - 0 35,middlegame,,39,31,0,0,4,3,-287,e7e3
2k4r/p7/P1p3p1/1p3p2/1PbQp3/2P3P1/3K1P2/3q4 w - - 0 40,middlegame,,37,2,1,0,4,2,-507,d2d1
8/1p5p/1k1P4/pN3b2/8/4P3/2P2PPP/2K5 w - - 1 33,middlegame,,15,19,0,0,1,1,376,b5d4
r1b4k/ppp2n1p/2np2p1/8/3p2Pb/2P1P2P/PP1B2K1/R4N2 w - - 0 23,middlegame,,41,21,0,0,1,2,-736,e3d4
8/5bp1/p2k3p/4p3/3p4/P3r3/1K1R2PP/8 w - - 0 40,middlegame,,21,15,0,0,1,4,-542,d2c2
r4rk1/2qQ4/5p1p/PK1P1P2/4p3/6b1/8/8 w - - 0 56,middlegame,,37,15,0,0,1,1,-1039,d7c7
8/1b6/p6p/k5pP/2p3P1/4KP2/2B5/8 b - - 1 44,endgame,,13,10,0,0,2,2,0,b7c6
rnbqkb1r/1p1p1ppp/p3pn2/8/2PN4/2N5/PP2PPPP/R1BQKB1R w KQkq - 0 6,opening,A32,76,38,0,0,3,2,50,g2g3
r1bqkbnr/ppp2ppp/2np4/4p3/8/1P3N2/PBPPPPPP/RN1QKB1R w KQkq - 0 4,opening,A01,78,27,0,0,2,2,23,d2d3
r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,opening,C44,78,36,0,0,3,4,135,d4d5
8/8/2p5/1b5p/pKp5/P4k2/1P5P/4B3 w - - 0 45,endgame,,13,11,0,0,0,2,3,e1h4
r2qkb1r/pppb1ppp/2np1n2/1B2p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 1 6,opening,C62,78,30,0,0,3,4,66,d2d4
rnbqk2r/pp3ppp/2pbpn2/3p4/2PP1B2/5N2/PPQ1PPPP/RN2KB1R w KQkq - 2 6,opening,D10,78,42,0,0,4,3,35,f4d6
rnbq1rk1/ppp1ppbp/3p1np1/8/2PPP3/2N2N2/PP3PPP/R1BQKB1R w KQ - 3 6,opening,E91,78,38,0,0,4,3,62,h2h3
8/p7/2k5/8/8/P4P1P/8/7K b - - 0 41,endgame,,4,10,0,0,1,1,513,c6d7
r1bqkbnr/pppp1ppp/2n5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 2 4,opening,C56,77,37,0,0,3,2,22,f3d4
rnbqk1nr/pp2ppbp/2p3p1/3p4/3PP3/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 5,opening,B06,78,37,0,0,3,4,64,e4e5
r1bqkb1r/pp1ppppp/2n2n2/8/4P3/2PB1N2/PP3PPP/RNBQK2R w KQkq - 1 6,opening,B21,76,40,0,0,4,4,139,e4e5
8/p4p1p/6k1/8/2p2BP1/3K1n2/P7/8 w - - 0 43,endgame,,12,6,1,0,3,2,-17,d3c4
4kbnr/2pp1pp1/1p2p3/p3Pn2/2P5/1PN1BP1p/P4KbP/R5N1 w k - 2 19,middlegame,,45,29,0,0,3,2,-624,c3b5
5rk1/p4pbp/2b1p1p1/8/5q2/2nB2N1/P5PP/1R3Q1K w - - 0 26,middlegame,,51,36,0,0,1,4,265,f1f4
5rk1/4Qpbp/6p1/3qP3/2bP4/4B1N1/Pr3PPP/R3R1K1 b - - 0 19,middlegame,,59,49,0,0,3,4,210,f7f6
2Rbk3/pp1n1pp1/3np1p1/PN6/3P4/r7/1PK2P1P/8 w - - 0 26,middlegame,,33,26,0,0,2,3,212,b5d6
rnbqkb1r/pp1p1ppp/4p3/3nP3/3p4/2P2N2/PP3PPP/RNBQKB1R w KQkq - 0 6,opening,B40,77,37,0,0,2,1,15,c3d4
r2q1rk1/1pp3pp/p7/2bbP3/3P1p2/2B4P/PP1n1P1K/5R1R w - - 0 25,middlegame,,53,19,0,0,2,3,-961,c3d2
3q2k1/pp6/n1p3p1/3p4/3PrQn1/P7/1P6/1KR4R w - - 2 31,middlegame,,47,45,0,0,2,4,34,f4g3
6k1/pp3pp1/5qbp/8/3bn3/5N2/2Q2PPP/3R2K1 w - - 0 31,middlegame,,43,36,0,0,3,3,30,f3d4
8/p3k1p1/1p1bP3/5P2/n3K3/7p/7P/8 w - - 0 48,endgame,,13,6,0,0,3,1,-685,e4f3
r3kbnr/1p1q2pp/p1p1P3/3p1p2/3N4/8/PB2Q1PP/R4RK1 b kq - 0 17,middlegame,,61,31,0,0,3,2,304,d7c7
rnbqkbnr/pp3ppp/3pp3/2p5/4P3/2N3P1/PPPP1P1P/R1BQKBNR w KQkq - 0 4,opening,B23,78,33,0,0,2,3,35,g1f3
rnbqkb1r/pp2pppp/8/3n4/8/5N2/PP1P1PPP/RNBQKB1R w KQkq - 0 6,opening,B10,74,28,0,0,2,1,9,f1c4
rnb1k1nr/ppp2ppp/4p3/3q4/1b1P4/2N5/PPP2PPP/R1BQKBNR w KQkq - 3 6,opening,C10,76,31,0,0,4,4,69,d1g4
4r1k1/5p1p/Q1nb1p2/8/P5B1/2N1q3/1P4PP/2KR2NR w - - 1 21,middlegame,,55,3,1,0,3,3,594,c1b1
rnq1kbnr/pppbpppp/3p4/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 1 4,opening,A10,78,33,0,0,4,1,126,g1f3
rnbqkb1r/pppppp1p/8/6p1/3PnB2/8/PPP1PPPP/RN1QKBNR w KQkq - 0 4,opening,A45,78,29,0,0,2,0,44,f4e5
8/p7/1p6/2p5/2Kb4/1P6/P5k1/5q2 w - - 0 49,middlegame,,17,1,1,0,2,2,-3761,c4d5
1r1r2k1/5p1p/3bpqp1/1B6/P2P1B2/3Q3P/1P3PP1/2R1R1K1 b - - 0 28,middlegame,,57,33,0,0,3,3,207,d6f4
6k1/5p2/5Ppp/p3p3/6q1/6KP/P7/8 w - - 0 62,middlegame,,17,4,1,0,0,2,-378,h3g4
r4k2/pp1qp1B1/n1pp1nB1/3P3Q/1PP5/P7/5PPP/1N3RK1 b - - 0 20,middlegame,,55,2,0,1,3,3,361,f8g7
7k/p2B1pp1/5q2/2pP4/2Pb1R2/1P2r1P1/P1Q4P/5R1K w - - 1 30,middlegame,,49,48,0,0,3,3,830,f4f6
8/1p1k3p/p5p1/B5P1/4K2P/1P6/7b/8 b - - 0 41,endgame,,13,17,0,0,3,1,-407,d7e6
3r1k2/5p2/5P1p/R1p1PBpP/2P5/P7/6P1/6K1 w - - 1 35,middlegame,,23,25,0,0,2,2,617,g1h2
2r2rk1/1p4p1/p3p1b1/4PpQp/4pP2/4P2R/q4B1P/4R1K1 b - - 1 25,middlegame,,55,38,0,0,2,2,-261,g6e8
8/p4K2/p6k/5q1P/8/8/1b6/8 w - - 0 52,middlegame,,15,3,1,0,0,4,-3931,f7e7
rnb1kb1r/ppq1pp1p/5np1/8/8/2N5/PPPP1PPP/R1BQKBNR w KQkq - 0 6,opening,B02,75,32,0,0,2,3,67,g1f3
1k5r/ppq3p1/2p2n2/7b/7P/NNPB3P/P1P2P2/2K1R2R b - - 0 26,middlegame,,49,42,0,0,3,3,-239,f6d5
r4rk1/5p2/p1NPbq1p/1p4p1/4P3/1PN4P/1PP2PP1/R4QK1 b - - 0 20,middlegame,,55,36,0,0,4,3,347,e6d7
r1bqkbnr/pp1n1ppp/4p3/2PpP3/8/4B3/PPP2PPP/RN1QKBNR w KQkq - 2 6,opening,B12,77,41,0,0,2,3,36,f1b5
r3k2r/pp3ppp/2nbp3/2pQ4/5Pbq/3PB3/PPP2R2/RN2K3 w Qkq - 0 15,middlegame,,65,32,0,0,3,3,-396,d5d6
r1bqkb1r/pp1pnp1p/2n1p1p1/2p5/4P3/2NP2P1/PPP2PBP/R1BQK1NR w KQkq - 0 6,opening,B24,78,36,0,0,2,3,7,c1e3
8/1p6/1kp5/6p1/KbB5/6r1/2R5/8 b - - 1 48,middlegame,,19,24,0,0,1,1,-585,b4d6
r2r2k1/5ppp/p4q2/2pRb3/2p5/2P4P/5PP1/3QR1K1 w - - 0 31,middlegame,,51,33,0,0,4,3,-137,e1e5
r3k2r/5pp1/2p1p1pn/3NP3/PpnP2PP/3R1BB1/PqP2P2/3KQ2R b kq - 0 26,middlegame,,67,41,0,0,4,3,-75,c6d5
8/8/4k1p1/4Bp1p/1PR2K2/2P4P/6P1/8 b - - 0 52,middlegame,,15,6,0,0,3,3,852,g6g5
5rk1/5r2/p5qp/3R2p1/PP1Pp3/4P1Q1/5PPP/5RK1 w - - 1 32,middlegame,,49,31,0,0,2,1,546,d5c5
B6N/5Q2/8/8/1k6/8/6K1/8 w - - 1 83,middlegame,,15,37,0,0,2,0,3891,f7a2
1r5k/p1p3bp/3p2P1/3B4/5P1q/1P1P3P/P1P3K1/2BR4 b - - 0 25,middlegame,,39,38,0,0,2,2,-530,b8e8
6k1/pq3pb1/1p2p1p1/3pP1Np/2n4P/P4NrK/5P2/BR6 w - - 0 30,middlegame,,45,3,1,0,3,3,-546,f2g3
8/2k2N2/2P5/2K5/5P2/7b/8/8 b - - 0 64,endgame,,8,9,0,0,3,0,241,h3g2
8/8/4k3/p4pp1/P3p2p/1P2NP1P/6PK/8 w - - 0 47,endgame,,13,14,0,0,2,3,457,e3c4
2kr3r/1pp1np1p/p1np1q2/8/2BbPp1p/P1NQ1P2/1PPB4/1K4RR w - - 2 15,middlegame,,69,42,0,0,3,3,-191,g1g4
8/8/4Pk1p/p4pp1/Pp6/1P2P1P1/5PP1/2R3K1 w - - 1 36,middlegame,,17,20,0,0,1,2,609,g1f1
6k1/p4pp1/1p6/7p/P4P2/1P2P3/6KP/3b4 w - - 0 32,endgame,,13,12,0,0,2,0,-545,g2f2
rnbqkbnr/pp3ppp/4p3/2pp4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq - 0 4,opening,C07,78,33,0,0,3,3,17,e4d5
Q4B1r/2nk1p1p/1q2p1p1/4P3/8/4NP2/1PP2P1P/3R2K1 b - - 2 27,middlegame,,47,3,0,1,3,2,778,c7d5
r1b1kbnr/pppp1ppp/5q2/8/8/4PQ2/PPPP2PP/RNB1KB1R w KQkq - 1 6,opening,A02,70,38,0,0,3,2,24,c2c4
r1bqkbnr/pppp1pp1/7p/8/2BnP3/8/PPP2PPP/RNBQK2R w KQkq - 0 6,opening,C44,73,41,0,0,2,0,108,d1d4
Q7/8/2K5/8/1k6/1P1B4/2P5/8 w - - 1 54,middlegame,,14,32,0,0,2,0,4331,a8f8
rnbqkbnr/pp2pp1p/3p2p1/2p5/2P1P3/3P4/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,B20,78,34,0,0,2,2,-25,f1e2
r5k1/pp3ppp/4p3/8/8/2P3RP/q4rP1/4R1K1 w - - 0 25,middlegame,,38,21,0,0,3,1,-710,e1a1
8/4bk2/3p2p1/6P1/3p1pK1/3B4/8/8 w - - 0 54,endgame,,11,14,0,0,1,1,-9,g4f4
5rk1/2p4p/1p1p2p1/p1br4/P3p2P/1P4P1/2R1RPK1/8 w - - 0 27,middlegame,,35,21,0,0,1,2,-603,e2e4
r1bqkbnr/ppp2ppp/2np4/8/2B1P3/2p2N2/PP3PPP/RNBQK2R w KQkq - 2 6,opening,C41,76,47,0,0,3,2,4,b1c3
3B4/2p5/8/P3k3/7p/3b1pb1/8/7K w - - 0 51,endgame,,13,7,0,0,0,4,-685,d8c7
rnbqkbnr/ppp2ppp/4p3/3p4/8/3P1N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,opening,A04,78,30,0,0,3,2,12,g2g3
r4rk1/ppp2pp1/2np3p/3Np3/2B1Pb2/3P1b2/PPP3Qq/R5RK w - - 0 21,middlegame,,66,0,1,0,2,3,-10000,
rnbqk1nr/p1ppppbp/1p4p1/8/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq - 2 4,opening,A40,78,33,0,0,4,2,84,e2e4
rn1qkbnr/pbpp2pp/1p2p3/5p2/2P5/2NP1N2/PP2PPPP/R1BQKB1R w KQkq - 0 5,opening,A13,78,35,0,0,4,2,24,e2e4
rnbqk1nr/ppp1p1bp/3p2p1/8/3Pp3/2PB1N2/PP3PPP/RNBQK2R w KQkq - 0 6,opening,B06,77,40,0,0,3,2,111,d3e4
6k1/5p2/2R5/8/8/2P2KPP/prr1PP2/4R3 w - - 0 37,middlegame,,27,28,0,0,2,0,-286,c6c8
2R5/8/8/p5pk/r7/6P1/5p2/4bK2 b - - 1 40,middlegame,,17,17,0,0,0,2,-648,h5g4
rnbqkb1r/pp3ppp/2p1pn2/3p4/3P1B2/5N2/PPPNPPPP/R2QKB1R w KQkq - 2 5,opening,D02,78,33,0,0,3,2,48,c2c3
rnbq1rk1/ppp1ppbp/3p1np1/8/3PP3/2PB4/PP1N1PPP/R1BQK1NR w KQ - 3 6,opening,A45,78,38,0,0,4,3,24,h2h3
3qr1k1/1p3ppp/p7/3p4/1P2bP2/P1N3P1/5n1P/R5K1 w - - 0 27,middlegame,,39,22,0,0,3,3,-701,c3e4
8/5N2/5k2/8/P4P2/2P3KP/8/R7 w - - 1 63,endgame,,12,25,0,0,2,1,3700,f7e5
rn1qkb1r/pbpppp1p/1p3np1/8/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,opening,A50,78,33,0,0,3,2,59,f1g2
rnbqk2r/ppp1ppbp/3p1np1/8/8/1P3NP1/PBPPPP1P/RN1QKB1R w KQkq - 0 5,opening,A49,78,29,0,0,2,3,15,d2d4
6k1/6pp/1b2p3/r7/2K5/2P5/Q7/4q3 w - - 0 44,middlegame,,30,16,0,0,2,4,-1102,a2a5
r1bqkb1r/pp2pppp/2np1n2/8/3NP3/2N5/PPP2PPP/R1BQKB1R w KQkq - 1 6,opening,B83,76,43,0,0,3,4,83,c1g5
r2b1rk1/pb3ppp/4pP2/1p2q3/2p1N1P1/3n4/1P2Q1BP/R1B2R1K w - - 0 23,middlegame,,67,43,0,0,1,4,-249,f6g7
rnbqkb1r/pp2pppp/2p5/3p4/3Pn2B/5N2/PPP1PPPP/RN1QKB1R w KQkq - 0 5,opening,D03,78,25,0,0,2,2,-4,e2e3
1r3r1k/8/3q2pp/3B1p2/p2P1P2/3P3P/PP1Q1R1K/1R6 w - - 1 30,middlegame,,51,40,0,0,2,3,502,d5g2
r1bqkbnr/pp2pppp/2np4/8/3PP3/8/PP3PPP/RNBQKBNR w KQkq - 0 5,opening,B22,76,39,0,0,3,2,129,d4d5
6r1/p4p2/2nk1B2/1Bpp3p/1p6/1P3P1n/P2R1K2/8 w - - 0 26,middlegame,,31,4,1,0,4,4,-499,f2e1
r4rk1/pp3p2/2pqp1p1/7p/4Q3/4P3/PP4P1/R1B2K2 w - - 0 22,middlegame,,47,29,0,0,3,3,-601,g2g4
r7/1p2r1kp/1qB2p2/p1R5/3P4/PPR1P3/2Q2PPP/6K1 b - - 0 27,middlegame,,52,36,0,0,4,2,619,a8c8
r1bqkb1r/pp1npppp/2p2n2/3p2B1/3P4/2NQ4/PPP1PPPP/R3KBNR w KQkq - 0 5,opening,D01,78,46,0,0,4,3,-28,g1f3
8/1p5p/3k2p1/2p2p2/2P2P1P/pr1P4/4K3/8 b - - 1 42,middlegame,,15,18,0,0,3,4,-728,b3b2
8/p5pk/1p1R4/1P5p/2PP4/Pn3RP1/5P1P/4r1K1 w - - 1 44,middlegame,,29,1,1,0,3,3,485,g1g2
8/5k2/3p4/3Pp3/1p6/1P3P2/1pP5/1K6 w - - 0 39,endgame,,8,5,0,0,1,2,199,b1b2
r1bqkb1r/pp2pppp/2np1n2/2p5/2B1P3/2NP4/PPP2PPP/R1BQK1NR w KQkq - 0 5,opening,B20,78,40,0,0,2,4,3,g1f3
r1bqkb1r/pp1p1ppp/2n1pn2/2p5/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,opening,E10,78,33,0,0,3,4,102,d4d5
r4rk1/pb1n2bp/1pp1Nqp1/3N4/3P1B2/1P4P1/P3PPBP/R2Q1RK1 b - - 0 14,middlegame,,71,36,0,0,4,3,457,f6e6
8/6k1/p2p2p1/2p1p3/2P3q1/1P3r2/P5K1/6R1 w - - 0 51,middlegame,,27,2,1,0,1,3,-9999,g2h2
5r1k/p5q1/1p2B2p/4p1p1/4Qp2/7P/Pb5P/5R1K b - - 1 37,middlegame,,43,29,0,0,3,2,-363,g7h7
8/8/1p2nk2/3B1p1p/1P1K1P2/6P1/7P/8 w - - 1 42,endgame,,13,5,1,0,3,3,332,d5e6
8/4b1R1/2kp1p2/4pPp1/K5P1/2p2P2/8/1r6 w - - 0 59,middlegame,,21,9,0,0,1,3,-697,g7g8
rnbqkb1r/pp3ppp/4p3/2pn4/8/1P3N2/PBPP1PPP/RN1QKB1R w KQkq - 0 6,opening,B40,76,34,0,0,2,2,57,b1c3
8/5pp1/2n4p/3p4/1p1Pb3/1P4k1/1B1K2P1/8 w - - 0 43,middlegame,,17,9,0,0,2,4,-672,d2d1
r5k1/8/4q1p1/3pbp2/8/pr6/P3Q1PP/5R1K w - - 0 39,middlegame,,43,32,0,0,2,4,-670,a2b3
8/5pp1/7p/2p2P2/2rb3P/4k3/2B5/2K5 w - - 0 66,middlegame,,17,4,0,0,1,3,-709,c1b1
rnbqkbnr/ppp1pppp/8/8/4p3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,opening,B01,77,33,0,0,1,2,1,b1c3
2b2r1k/2b3qp/6pN/1p2p1P1/2p1P2P/1pP2N2/4pP1Q/1r2R2K w - - 0 42,middlegame,,57,22,0,0,3,2,-595,e1b1
4K3/2q5/3b2kp/8/4pP2/8/8/8 b - f3 0 54,middlegame,,15,33,0,0,1,1,-9999,c7c8
2Q5/pp4pk/2p3rp/8/3P3K/6r1/PP6/8 w - - 0 36,middlegame,,27,21,0,0,1,1,-501,c8f5
5k2/5pp1/2n1p2p/pp6/8/3K2B1/5PPP/8 b - - 1 34,middlegame,,15,18,0,0,3,3,-583,f8e7
1r4k1/p4pp1/2b1p2p/2P1n3/3Q1P2/8/P3r1qP/R4RK1 w - - 0 23,middlegame,,53,0,1,0,3,3,-10000,
r5k1/pp3r2/5p1B/4R3/8/1BP4P/P5P1/3R2K1 b - - 0 26,middlegame,,33,13,0,0,3,1,669,f6e5
8/8/5n1p/5Kp1/8/8/5k2/4q3 w - - 0 64,middlegame,,14,2,0,0,2,3,-3892,f5g6
6Q1/8/8/4R3/3P1P2/2k5/8/6K1 w - - 1 68,middlegame,,16,41,0,0,3,1,4360,d4d5
r1bqk1nr/ppppbppp/2n5/1B2p3/4P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,opening,C60,78,32,0,0,3,2,60,b1c3
rn1qkb1r/pbpp1ppp/1p2pn2/8/3P1B2/4PN2/PPP2PPP/RN1QKB1R w KQkq - 0 5,opening,A47,78,38,0,0,2,2,33,f1d3
r1bqkbnr/pp2pppp/2n5/2p1P3/3p4/2PP4/PP3PPP/RNBQKBNR w KQkq - 1 5,opening,B22,78,34,0,0,2,3,-25,g1f3
1r6/3B4/p2p2R1/2pPb1p1/5p2/1p4kP/6P1/7K w - - 0 39,middlegame,,25,17,0,0,0,2,-465,g6g5
8/pB6/P7/6p1/2p2bPp/2K4P/5k2/8 w - - 1 66,endgame,,13,13,0,0,3,1,-210,c3c4
8/1P3kp1/7p/2P5/b3p3/4b3/6rP/1K6 w - - 0 55,middlegame,,17,8,0,0,0,1,-391,b7b8q
8/p4k2/1pp2P2/3p1K2/4P1N1/1PP5/P7/R7 b - - 0 39,middlegame,,17,9,0,0,4,2,889,d5e4
1r2q3/p3Ppk1/1r4pp/2Q5/7P/PP1BP1P1/5P2/2R3K1 b - - 0 40,middlegame,,47,33,0,0,4,0,112,b8b7
8/2KQ4/4k3/8/4p3/4P1B1/5P2/8 b - - 0 92,middlegame,,15,1,0,1,3,2,3939,e6f6
r1b2b1k/7p/pp2p1p1/4q3/2P3P1/2Q5/P3B2P/6K1 w - - 0 32,middlegame,,41,31,0,0,3,3,410,c3e5
6k1/2q2pbp/4p1p1/2p1p3/2N5/1r1r4/5PPP/1R2QRK1 w - - 0 29,middlegame,,53,30,0,0,2,3,-403,e1e4
2qr1B1k/pp1b3p/n7/1N1Pp3/5n2/1Q3BN1/PP3PPP/3R2K1 b - - 0 26,middlegame,,59,35,0,0,3,2,400,d8f8
3r1bk1/1p2q2p/4n1p1/1P1Q1p2/P1N5/4P1P1/5PBP/R4RK1 w - - 1 28,middlegame,,55,45,0,0,4,3,676,d5f3
r2qr1k1/pp3pp1/3b1n1p/2p1NP2/8/4B3/PPP1BPPP/RN1Q1RK1 b - - 0 15,middlegame,,69,35,0,0,2,4,475,d6e5
rq3r1k/ppp5/2n4p/3QNBp1/8/2N3P1/PPP2PP1/R3R1K1 b - - 0 17,middlegame,,61,23,0,0,4,2,902,b8e8
8/1r5k/7p/8/3pb3/7P/1r1B4/6K1 w - - 2 45,middlegame,,19,13,0,0,0,1,-825,g1f2
4k3/6b1/8/1r1B1Rp1/3P4/4P1P1/5PK1/8 b - - 0 37,middlegame,,21,20,0,0,4,3,528,e8d7
2Rq4/pQ1b3p/4p1k1/6p1/3P4/2P1P3/PP4PP/1R4K1 b - - 0 25,middlegame,,42,27,0,0,4,1,662,d7c8
rnb1kb1r/ppppqppp/5n2/8/3PPp2/2N5/PPP1K1PP/R1BQ1BNR w kq - 5 6,opening,C33,77,28,0,0,4,3,-145,d1d3
3r2k1/p4pp1/1q3b1B/8/8/2N2QPb/PP3P1P/R3R1K1 b - - 0 22,middlegame,,53,49,0,0,3,3,471,g7h6
7k/1pB3pp/8/8/8/2P5/b1P2KPP/8 b - - 1 25,endgame,,13,14,0,0,2,1,-1,a2c4
rnbqkb1r/pp1p1ppp/4pn2/6B1/2Pp4/2N5/PP2PPPP/R2QKBNR w KQkq - 0 5,opening,E20,77,38,0,0,3,2,-39,d1d4
6k1/ppP4p/1q4p1/5r2/5P2/2B3Q1/PP5P/R4RK1 w - - 1 32,middlegame,,45,6,1,0,2,3,717,f1f2
r1b1r1k1/pp3pb1/3B3p/2pP4/3n4/3P1N1P/PPP1B1P1/R2QK2R b KQ - 2 15,middlegame,,59,36,0,0,3,3,585,d4e2
r1bqkbnr/pppp2pp/8/4n3/3PpP2/8/PPP3PP/RNBQKB1R w KQkq - 0 6,opening,C30,73,34,0,0,2,0,62,f4e5
r1bqk1nr/pp2ppbp/2p3p1/2p5/4PP2/2N5/PPPP2PP/R1BQK1NR w KQkq - 0 6,opening,B23,72,28,0,0,3,3,42,g1f3
8/5pkp/2p2p2/8/6P1/8/P7/K2R4 b - - 0 41,endgame,,11,9,0,0,2,2,546,g7f8
1rr5/1p4k1/3p1pp1/p1p4p/P3P2P/2N3P1/1Pn2R2/7K w - - 0 45,middlegame,,33,23,0,0,2,2,-464,f2c2
8/p6p/1p2ppk1/8/6p1/3n2P1/PR4KP/2r2B2 w - - 0 41,middlegame,,25,17,0,0,0,2,10,f1d3
rnbqkb1r/4pppp/p1p2n2/1p1p4/2P5/1PN1PN2/P2P1PPP/R1BQKB1R w KQkq - 0 6,opening,A11,78,33,0,0,4,2,49,f1e2
8/8/4Q2p/2PpP3/3Pk3/8/4K2P/8 b - - 0 67,middlegame,,15,3,0,0,2,4,1177,h6h5
r1bqkb1r/pppn1ppp/3p1n2/4p3/3PPP2/3B4/PPP3PP/RNBQK1NR w KQkq - 0 5,opening,B07,78,36,0,0,3,4,55,c2c3
rnbqkbnr/pp1p1ppp/2p5/8/3pP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,opening,C40,77,37,0,0,3,1,92,d1d4
rn1qkbnr/pbpp1ppp/1p2p3/8/4PP2/2N5/PPPP2PP/R1BQKBNR w KQkq - 0 4,opening,B00,78,32,0,0,3,2,31,d2d4
5rk1/p4pnp/6p1/P1pB4/1rnp4/6P1/2P4P/R1R3K1 w - - 0 23,middlegame,,39,27,0,0,1,2,-523,c2c3
rnbqkb1r/pp1ppppp/5n2/2p5/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 1 3,opening,B22,78,31,0,0,2,3,46,e4e5
r1bqkb1r/pp1npppp/2p2n2/8/3PN3/7P/PPP2PP1/R1BQKBNR w KQkq - 1 6,opening,B17,76,41,0,0,2,3,36,e4c3
r2r1bk1/2R2Qpp/P3p3/3n4/R2P2P1/1P5P/1B3P2/6K1 b - - 0 29,middlegame,,47,1,0,1,2,1,689,g8h8
2r1k2r/1p1b1ppp/p3pb2/4p3/P7/2NB4/1PP3PP/3R1q1K w k - 0 19,middlegame,,48,2,1,0,2,3,-661,d1f1
8/pR6/8/2kp4/5p2/3B4/P1P2PP1/6K1 b - - 0 40,middlegame,,15,7,0,0,1,3,844,a7a5
r4rk1/pp3ppp/2p2n2/q3p1N1/1b6/4B2P/b1QNBPP1/R4RK1 b - - 1 19,middlegame,,69,43,0,0,2,4,435,h7h6
6B1/1p1kb3/2np3p/p1n1pb2/P7/2N1BP2/1PP3PP/R2Q1RK1 b - - 0 19,middlegame,,51,33,0,0,3,3,1139,c6d4
rnbqk1nr/pppp1pbp/4p1p1/8/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,opening,A04,78,26,0,0,2,3,42,e2e4
4B3/8/4K3/1p3p2/p3kP2/P2b4/1P3P2/8 w - - 1 45,endgame,,13,14,0,0,2,4,67,e6d6
rnbqkb1r/ppp1pp1p/3p1np1/8/2P1P3/3P4/PP3PPP/RNBQKBNR w KQkq - 0 4,opening,B07,78,35,0,0,2,3,-13,f1e2
rnbqkbnr/pp3ppp/4p3/3pP3/3p4/2N2N2/PPP2PPP/R1BQKB1R w KQkq - 0 6,opening,C00,77,37,0,0,4,2,65,c3b5
3q1rk1/pr3pbp/3pPpp1/1p6/5P2/4Q3/P1P3PP/5RK1 w - - 0 22,middlegame,,49,38,0,0,3,1,-671,f4f5
8/5pp1/p3p2p/1p5P/1P4P1/k2K1P2/8/8 w - - 0 42,endgame,,10,9,0,0,2,1,-406,d3e2
rnbqkbnr/ppp2ppp/4p3/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,opening,D55,78,30,0,0,3,2,11,b1c3
rnb1k2r/ppppqppp/4pn2/8/2PP4/2Q5/PP2PPPP/R1B1KBNR w KQkq - 1 6,opening,E32,72,35,0,0,3,2,40,c1g5
rnbqkbnr/pp2pppp/2pp4/8/4P3/1P6/P1PP1PPP/RNBQKBNR w KQkq - 0 3,opening,B07,78,31,0,0,1,2,27,d2d4
5r2/R7/5p2/6pk/8/5KP1/8/8 b - - 1 65,endgame,,13,12,0,0,1,1,0,f6f5
rnbqkb1r/1p3ppp/p2ppn2/2p5/2B1P3/2P2N2/PP1P1PPP/RNBQ1RK1 w kq - 1 6,opening,B20,78,31,0,0,3,4,19,f1e1
